| S1  | S0  | X01 | X00 | X11 | X10 | X21 | X20 | X31 | X30 | Y1  | Y0  |
|  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |
|  0  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |
|  0  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |
|  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |
|  0  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  1  |  0  |
|  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |
|  0  |  1  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  1  |  1  |
|  0  |  1  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  1  |
|  1  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  1  |
|  1  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  0  |
|  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |
|  1  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  1  |
|  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  1  |  1  |  1  |
|  1  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  1  |
|  1  |  1  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  0  |  1  |  0  |
|  1  |  1  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  0  |
