|    X     |    Y     | opCode  | sPin  |    Z     |  EQ   |  OF   |
| 00001010 | 00001010 |   000   |   0   | 00000000 |   1   |   0   |
| 01000111 | 00001000 |   001   |   0   | 00000000 |   0   |   0   |
| 00001010 | 00000101 |   010   |   0   | 00001111 |   0   |   0   |
| 00001010 | 00000101 |   011   |   0   | 00001111 |   0   |   0   |
| 10010110 | 01100100 |   100   |   0   | 11111010 |   0   |   0   |
| 01000010 | 00110111 |   100   |   1   | 01111001 |   0   |   0   |
| 11001000 | 01100100 |   100   |   0   | 00101100 |   0   |   1   |
| 00001010 | 01111000 |   100   |   1   | 10000010 |   0   |   1   |
| 10000000 | 10000000 |   100   |   1   | 00000000 |   1   |   1   |
| 10001001 | 01110111 |   101   |   0   | 00010010 |   0   |   0   |
| 01110111 | 10001001 |   101   |   0   | 11101110 |   0   |   1   |
| 00001010 | 11111011 |   101   |   1   | 00001111 |   0   |   0   |
| 01111111 | 11111011 |   101   |   1   | 10000100 |   0   |   1   |
| 10000000 | 01111111 |   101   |   1   | 00000001 |   0   |   1   |
| 00010011 | 00001101 |   110   |   0   | 11110111 |   0   |   0   |
| 00010100 | 00010100 |   110   |   0   | 10010000 |   1   |   1   |
| 00001010 | 11111011 |   111   |   1   | 11001110 |   0   |   0   |
| 00101000 | 11111011 |   111   |   1   | 00111000 |   0   |   1   |
