| time |reset|RAM64[16]|RAM64[17]|RAM64[18]|
| 1    |  0  |    1389 |    1400 |       0 |
| 2    |  0  |    1389 |    1400 |       0 |
| 3    |  0  |    1389 |    1400 |       0 |
| 4    |  0  |    1389 |    1400 |       0 |
| 5    |  0  |    1389 |    1400 |       0 |
| 6    |  0  |    1389 |    1400 |       0 |
| 7    |  0  |    1389 |    1400 |       0 |
| 8    |  0  |    1389 |    1400 |       0 |
| 9    |  0  |    1389 |    1400 |       0 |
| 10   |  0  |    1389 |    1400 |       0 |
| 11   |  0  |    1389 |    1400 |       0 |
| 12   |  0  |    1389 |    1400 |      11 |
| 13   |  1  |     169 |     130 |       0 |
| 14   |  0  |     169 |     130 |       0 |
| 15   |  0  |     169 |     130 |       0 |
| 16   |  0  |     169 |     130 |       0 |
| 17   |  0  |     169 |     130 |       0 |
| 18   |  0  |     169 |     130 |       0 |
| 19   |  0  |     169 |     130 |       0 |
| 20   |  0  |     169 |     130 |       0 |
| 21   |  0  |     169 |     130 |      39 |
| 22   |  0  |     169 |     130 |      39 |
| 23   |  0  |     169 |     130 |      39 |
| 24   |  0  |     169 |     130 |      39 |
| 25   |  0  |     169 |     130 |      39 |
| 26   |  1  |   12345 |   12345 |       0 |
| 27   |  0  |   12345 |   12345 |       0 |
| 28   |  0  |   12345 |   12345 |       0 |
| 29   |  0  |   12345 |   12345 |       0 |
| 30   |  0  |   12345 |   12345 |       0 |
| 31   |  0  |   12345 |   12345 |       0 |
| 32   |  0  |   12345 |   12345 |       0 |
| 33   |  0  |   12345 |   12345 |       0 |
| 34   |  0  |   12345 |   12345 |       0 |
| 35   |  0  |   12345 |   12345 |       0 |
| 36   |  0  |   12345 |   12345 |       0 |
| 37   |  0  |   12345 |   12345 |       0 |
| 38   |  0  |   12345 |   12345 |       0 |
