| time |reset|ARegister|DRegister| pc |RAM64[19]|RAM64[16]|RAM64[17]|RAM64[18]|
| 0    |  0  |       0 |       0 |   0|       0 |      14 |      35 |      41 |
| 1    |  0  |      16 |       0 |   1|       0 |      14 |      35 |      41 |
| 2    |  0  |      16 |      14 |   2|       0 |      14 |      35 |      41 |
| 3    |  0  |      17 |      14 |   3|       0 |      14 |      35 |      41 |
| 4    |  0  |      17 |      49 |   4|       0 |      14 |      35 |      41 |
| 5    |  0  |      18 |      49 |   5|       0 |      14 |      35 |      41 |
| 6    |  0  |      18 |       8 |   6|       0 |      14 |      35 |      41 |
| 7    |  0  |      19 |       8 |   7|       0 |      14 |      35 |      41 |
| 8    |  0  |      19 |       8 |   8|       8 |      14 |      35 |      41 |
| 9    |  1  |       0 |       8 |   0|       0 |       8 |      23 |      40 |
| 10   |  0  |      16 |       8 |   1|       0 |       8 |      23 |      40 |
| 11   |  0  |      16 |       8 |   2|       0 |       8 |      23 |      40 |
| 12   |  0  |      17 |       8 |   3|       0 |       8 |      23 |      40 |
| 13   |  0  |      17 |      31 |   4|       0 |       8 |      23 |      40 |
| 14   |  0  |      18 |      31 |   5|       0 |       8 |      23 |      40 |
| 15   |  0  |      18 |      -9 |   6|       0 |       8 |      23 |      40 |
| 16   |  0  |      19 |      -9 |   7|       0 |       8 |      23 |      40 |
| 17   |  0  |      19 |      -9 |   8|      -9 |       8 |      23 |      40 |
| 18   |  1  |       0 |      -9 |   0|       0 |      15 |     232 |     176 |
| 19   |  0  |      16 |      -9 |   1|       0 |      15 |     232 |     176 |
| 20   |  0  |      16 |      15 |   2|       0 |      15 |     232 |     176 |
| 21   |  0  |      17 |      15 |   3|       0 |      15 |     232 |     176 |
| 22   |  0  |      17 |     247 |   4|       0 |      15 |     232 |     176 |
| 23   |  0  |      18 |     247 |   5|       0 |      15 |     232 |     176 |
| 24   |  0  |      18 |      71 |   6|       0 |      15 |     232 |     176 |
| 25   |  0  |      19 |      71 |   7|       0 |      15 |     232 |     176 |
| 26   |  0  |      19 |      71 |   8|      71 |      15 |     232 |     176 |
