| time |reset|RAM64[16]|RAM64[17]|RAM64[18]|
| 0    |  0  |       0 |       0 |       0 |
| 0    |  0  |       2 |       5 |       0 |
| 1    |  0  |       2 |       5 |       0 |
| 2    |  0  |       2 |       5 |       0 |
| 3    |  0  |       2 |       5 |       0 |
| 4    |  0  |       2 |       5 |       0 |
| 5    |  0  |       2 |       5 |       0 |
| 6    |  0  |       2 |       5 |       0 |
| 7    |  0  |       2 |       5 |       0 |
| 8    |  0  |       2 |       5 |       0 |
| 9    |  0  |       2 |       5 |       0 |
| 10   |  0  |       2 |       5 |       0 |
| 11   |  0  |       2 |       5 |      -2 |
| 12   |  1  |       2 |       5 |      -2 |
| 13   |  0  |       2 |       5 |      -2 |
| 14   |  0  |       2 |       5 |      -2 |
| 15   |  0  |       2 |       5 |      -2 |
| 16   |  0  |       2 |       5 |      -2 |
| 17   |  0  |       2 |       5 |      -2 |
| 18   |  0  |       2 |       5 |      -2 |
| 19   |  0  |       2 |       5 |      -2 |
| 20   |  0  |       2 |       5 |      -2 |
| 21   |  0  |       2 |       5 |      -2 |
| 22   |  0  |       2 |       5 |      -2 |
| 23   |  0  |       2 |       5 |      -2 |
