| time |RAM64[16] |RAM64[17] |
| 4    |        1 |        0 |
| 18   |        2 |        1 |
| 32   |        3 |        3 |
| 46   |        4 |        6 |
| 60   |        5 |       10 |
| 74   |        6 |       15 |
| 88   |        7 |       21 |
| 102  |        8 |       28 |
| 116  |        9 |       36 |
| 130  |       10 |       45 |
| 144  |       11 |       55 |
| 158  |       12 |       66 |
| 172  |       13 |       78 |
| 186  |       14 |       91 |
| 200  |       15 |      105 |
| 214  |       16 |      120 |
| 228  |       17 |      136 |
| 242  |       18 |      153 |
| 256  |       19 |      171 |
| 270  |       20 |      190 |
| 284  |       21 |      210 |
| 298  |       22 |      231 |
| 312  |       23 |      253 |
| 326  |       24 |      276 |
| 340  |       25 |      300 |
| 354  |       26 |      325 |
| 368  |       27 |      351 |
| 382  |       28 |      378 |
| 396  |       29 |      406 |
| 410  |       30 |      435 |
| 424  |       31 |      465 |
| 438  |       32 |      496 |
| 452  |       33 |      528 |
| 466  |       34 |      561 |
| 480  |       35 |      595 |
| 494  |       36 |      630 |
| 508  |       37 |      666 |
| 522  |       38 |      703 |
| 536  |       39 |      741 |
| 550  |       40 |      780 |
| 564  |       41 |      820 |
| 578  |       42 |      861 |
| 592  |       43 |      903 |
| 606  |       44 |      946 |
| 620  |       45 |      990 |
| 634  |       46 |     1035 |
| 648  |       47 |     1081 |
| 662  |       48 |     1128 |
| 676  |       49 |     1176 |
| 690  |       50 |     1225 |
| 704  |       51 |     1275 |
| 718  |       52 |     1326 |
| 732  |       53 |     1378 |
| 746  |       54 |     1431 |
| 760  |       55 |     1485 |
| 774  |       56 |     1540 |
| 788  |       57 |     1596 |
| 802  |       58 |     1653 |
| 816  |       59 |     1711 |
| 830  |       60 |     1770 |
| 844  |       61 |     1830 |
| 858  |       62 |     1891 |
| 872  |       63 |     1953 |
| 886  |       64 |     2016 |
| 900  |       65 |     2080 |
| 914  |       66 |     2145 |
| 928  |       67 |     2211 |
| 942  |       68 |     2278 |
| 956  |       69 |     2346 |
| 970  |       70 |     2415 |
| 984  |       71 |     2485 |
| 998  |       72 |     2556 |
| 012  |       73 |     2628 |
| 026  |       74 |     2701 |
| 040  |       75 |     2775 |
| 054  |       76 |     2850 |
| 068  |       77 |     2926 |
| 082  |       78 |     3003 |
| 096  |       79 |     3081 |
| 110  |       80 |     3160 |
| 124  |       81 |     3240 |
| 138  |       82 |     3321 |
| 152  |       83 |     3403 |
| 166  |       84 |     3486 |
| 180  |       85 |     3570 |
| 194  |       86 |     3655 |
| 208  |       87 |     3741 |
| 222  |       88 |     3828 |
| 236  |       89 |     3916 |
| 250  |       90 |     4005 |
| 264  |       91 |     4095 |
| 278  |       92 |     4186 |
| 292  |       93 |     4278 |
| 306  |       94 |     4371 |
| 320  |       95 |     4465 |
| 334  |       96 |     4560 |
| 348  |       97 |     4656 |
| 362  |       98 |     4753 |
| 376  |       99 |     4851 |
| 390  |      100 |     4950 |
| 404  |      101 |     5050 |
| 418  |      101 |     5050 |
| 432  |      101 |     5050 |
