|        x         |        y         |  zx   |  nx   |  zy   |  ny   |   f   |  n0   |       out        |  zr   |  ng   |
| 0000000001111110 | 0000000001001111 |   1   |   0   |   1   |   0   |   1   |   0   | 0000000000000000 |   1   |   0   |
| 0000000001111110 | 0000000001001111 |   1   |   1   |   1   |   1   |   1   |   1   | 0000000000000001 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   1   |   1   |   1   |   0   |   1   |   0   | 1111111111111111 |   0   |   1   |
| 0000000001111110 | 0000000001001111 |   0   |   0   |   1   |   1   |   0   |   0   | 0000000001111110 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   1   |   1   |   0   |   0   |   0   |   0   | 0000000001001111 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   0   |   0   |   1   |   1   |   0   |   1   | 1111111110000001 |   0   |   1   |
| 0000000001111110 | 0000000001001111 |   1   |   1   |   0   |   0   |   0   |   1   | 1111111110110000 |   0   |   1   |
| 0000000001111110 | 0000000001001111 |   0   |   0   |   1   |   1   |   1   |   1   | 1111111110000010 |   0   |   1   |
| 0000000001111110 | 0000000001001111 |   1   |   1   |   0   |   0   |   1   |   1   | 1111111110110001 |   0   |   1   |
| 0000000001111110 | 0000000001001111 |   0   |   1   |   1   |   1   |   1   |   1   | 0000000001111111 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   1   |   1   |   0   |   1   |   1   |   1   | 0000000001010000 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   0   |   0   |   1   |   1   |   1   |   0   | 0000000001111101 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   1   |   1   |   0   |   0   |   1   |   0   | 0000000001001110 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   0   |   0   |   0   |   0   |   1   |   0   | 0000000011001101 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   0   |   1   |   0   |   0   |   1   |   1   | 0000000000101111 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   0   |   0   |   0   |   1   |   1   |   1   | 1111111111010001 |   0   |   1   |
| 0000000001111110 | 0000000001001111 |   0   |   0   |   0   |   0   |   0   |   0   | 0000000001001110 |   0   |   0   |
| 0000000001111110 | 0000000001001111 |   0   |   1   |   0   |   1   |   0   |   1   | 0000000001111111 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   1   |   0   |   1   |   0   |   1   |   0   | 0000000000000000 |   1   |   0   |
| 0000000001110001 | 1111111111010100 |   1   |   1   |   1   |   1   |   1   |   1   | 0000000000000001 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   1   |   1   |   1   |   0   |   1   |   0   | 1111111111111111 |   0   |   1   |
| 0000000001110001 | 1111111111010100 |   0   |   0   |   1   |   1   |   0   |   0   | 0000000001110001 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   1   |   1   |   0   |   0   |   0   |   0   | 1111111111010100 |   0   |   1   |
| 0000000001110001 | 1111111111010100 |   0   |   0   |   1   |   1   |   0   |   1   | 1111111110001110 |   0   |   1   |
| 0000000001110001 | 1111111111010100 |   1   |   1   |   0   |   0   |   0   |   1   | 0000000000101011 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   0   |   0   |   1   |   1   |   1   |   1   | 1111111110001111 |   0   |   1   |
| 0000000001110001 | 1111111111010100 |   1   |   1   |   0   |   0   |   1   |   1   | 0000000000101100 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   0   |   1   |   1   |   1   |   1   |   1   | 0000000001110010 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   1   |   1   |   0   |   1   |   1   |   1   | 1111111111010101 |   0   |   1   |
| 0000000001110001 | 1111111111010100 |   0   |   0   |   1   |   1   |   1   |   0   | 0000000001110000 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   1   |   1   |   0   |   0   |   1   |   0   | 1111111111010011 |   0   |   1   |
| 0000000001110001 | 1111111111010100 |   0   |   0   |   0   |   0   |   1   |   0   | 0000000001000101 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   0   |   1   |   0   |   0   |   1   |   1   | 0000000010011101 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   0   |   0   |   0   |   1   |   1   |   1   | 1111111101100011 |   0   |   1   |
| 0000000001110001 | 1111111111010100 |   0   |   0   |   0   |   0   |   0   |   0   | 0000000001010000 |   0   |   0   |
| 0000000001110001 | 1111111111010100 |   0   |   1   |   0   |   1   |   0   |   1   | 1111111111110101 |   0   |   1   |
